Date,Close,High,Low,Open,Volume
2020-01-01,1927.34521484375,1941.8383635575321,1915.2525400152504,1927.7007923644674,1354908
2020-01-02,1918.498779296875,1938.3271195704967,1910.985409778145,1938.3271195704967,2380752
2020-01-03,1956.732421875,1976.605260652981,1924.1447521606167,1924.1447521606167,4655761
2020-01-06,1956.5546875,1979.2282977335249,1945.3956712042898,1960.600414310683,3023209
2020-01-07,1961.3563232421875,1969.1807681514144,1941.750275332226,1956.5992239818167,2429317
2020-01-08,2005.2808837890625,2009.5043996733318,1957.977549301324,1960.6005315396887,5197454
2020-01-09,1968.91455078125,2002.3468877782382,1965.046612020448,1999.5016148330237,3734173
2020-01-10,1968.202392578125,1986.38569177477,1963.2675055679017,1981.0507257270312,1915807
2020-01-13,1947.5743408203125,1973.0042211475954,1942.5504497416125,1972.0262740659923,2843893
2020-01-14,1962.2894287109375,1982.6513469449715,1951.7084990788169,1951.7084990788169,2948452
2020-01-15,1980.072509765625,1983.7181566345978,1950.996988985386,1967.7132589118623,2620681
2020-01-16,1990.654296875,1999.7236984228678,1969.4922152097165,1980.1176489817906,3117214
2020-01-17,1973.1376953125,2003.7692550743575,1967.713725189049,1992.3879483585006,3281059
2020-01-20,1929.791259765625,1993.677367117442,1917.2094974778545,1951.619995399591,5817599
2020-01-21,1930.413818359375,1944.1958194701838,1918.8547206535357,1929.4356540290244,1902980
2020-01-22,1962.2894287109375,1965.0459147900617,1932.7693253527825,1939.2602444149886,1773686
2020-01-23,1952.5313720703125,1976.415046858019,1946.070315102791,1969.3302072151916,2069866
2020-01-24,1945.8028564453125,1952.531310797764,1933.8611282128577,1952.531310797764,1319430
2020-01-27,1933.192626953125,1954.7591440341873,1929.4051111460253,1951.4172183220405,1549101
2020-01-28,1946.11474609375,1949.7240693893716,1917.8197749713795,1937.425739213652,1743024
2020-01-29,1920.13720703125,1948.9667598772428,1916.0376905245205,1947.2290017656173,2306761
2020-01-30,1905.2100830078125,1929.4055435570335,1893.7583279716841,1924.9496416088648,2098567
2020-01-31,1852.8084716796875,1911.0025895837002,1846.1692218681544,1906.5910729794516,3287223
2020-02-03,1873.70654296875,1955.8733214572835,1865.4185228312058,1917.819966929251,4728073
2020-02-04,1878.3848876953125,1904.1845085140849,1859.5365152893196,1897.322465142128,3509339
2020-02-05,1912.963134765625,1922.0085278677636,1875.3107667307072,1884.8463525171944,2439322
2020-02-06,1896.7440185546875,1937.6045120905662,1885.292262617459,1911.5820861803118,2640065
2020-02-07,1904.0516357421875,1916.9291497420556,1888.4113753153956,1906.2349843320583,2083442
2020-02-10,1926.687744140625,1931.188249427154,1888.4115830808212,1907.928350071985,2383032
2020-02-11,1919.0679931640625,1938.139386323544,1913.899320345665,1927.6234129554848,1335820
2020-02-12,1934.5296630859375,1947.2289825372675,1916.0376716041762,1917.018056977115,1620407
2020-02-13,1953.423095703125,1957.9236008401215,1934.752907339055,1936.490665836961,1645948
2020-02-14,1946.5162353515625,1971.2910946122627,1934.7526972889793,1949.9027644718042,1500115
2020-02-17,1963.4927978515625,1975.7465257401175,1951.8628525954023,1957.8783190134204,1774724
2020-02-18,1974.632568359375,1979.311264504647,1948.164559395066,1960.551877397992,2486223
2020-02-19,1957.3438720703125,1987.3320011115743,1952.1303804640822,1974.6326822703904,1760463
2020-02-20,1922.097412109375,1973.4292587682328,1917.1513187079881,1964.6066622158094,2317278
2020-02-24,1885.158447265625,1941.8373871879944,1877.4496066660608,1921.384841595693,3092877
2020-02-25,1921.5186767578125,1939.78787633003,1881.2819657049297,1885.2922778061481,2674567
2020-02-26,1892.510498046875,1928.424888672731,1883.0192976793192,1919.602291077325,2686842
2020-02-27,1876.380126953125,1889.257638809857,1859.180303599851,1889.257638809857,2349001
2020-02-28,1782.494384765625,1844.297719793846,1773.4488825270614,1842.9609492793784,4298076
2020-03-02,1783.5194091796875,1830.43997102971,1769.6169076675767,1813.5521456694714,2667076
2020-03-03,1814.62109375,1835.8312261885849,1793.054576257977,1800.1840179130784,2757585
2020-03-04,1856.5067138671875,1866.5324920068504,1804.6400651393267,1832.2666537908422,3237002
2020-03-05,1893.802734375,1914.0324836099335,1857.2643421840992,1858.7347026453829,3937056
2020-03-06,1886.138427734375,1892.5548821256377,1846.1691234060402,1869.6961953651057,2595027
2020-03-09,1757.7196044921875,1853.5659892940257,1724.4340389853844,1849.1992924520273,4940975
2020-03-11,1741.09912109375,1771.0428698576638,1711.0663848329648,1722.651730146938,6796449
2020-03-12,1577.2554931640625,1700.7285720163882,1567.0069193179195,1696.807356787488,8728786
2020-03-13,1609.7392578125,1621.94838621605,1342.162333108451,1504.2234729079232,8029720
2020-03-16,1511.7984619140625,1641.7771023218183,1493.4846610631405,1564.0216119282352,7844271
2020-03-17,1477.576904296875,1542.633064739379,1446.5192932950106,1541.7418844593449,5713248
2020-03-18,1474.3687744140625,1527.0821132166352,1450.6187966253578,1494.3312357624918,7258778
2020-03-19,1468.937744140625,1513.014383276908,1388.504592323494,1400.129655632053,5135111
2020-03-20,1613.5557861328125,1677.7856664749254,1460.5442907194777,1463.237365625537,8547498
2020-03-23,1498.8756103515625,1570.9602891670838,1452.2405758857428,1454.2603819718147,7003490
2020-03-24,1528.9034423828125,1588.9141028246072,1465.7956802289898,1483.9291159649229,6350865
2020-03-25,1571.2294921875,1624.8216314473982,1508.1217352660935,1526.0755654478326,2765520
2020-03-26,1607.7208251953125,1644.6160398696688,1546.318803677393,1644.2120128761426,4556067
2020-03-27,1637.8385009765625,1660.729639247268,1571.3195681532839,1633.7988883405555,4331250
2020-03-30,1596.5443115234375,1710.1022847636482,1583.1238676094592,1585.323167922626,8513547
2020-03-31,1639.2744140625,1665.217720136174,1597.890858136059,1649.4183717697765,3927593
2020-04-01,1533.9306640625,1647.0398161747896,1527.8712451993415,1639.0952666927274,4941878
2020-04-03,1484.96142578125,1561.9834101850417,1481.1911648306432,1561.9834101850417,5735369
2020-04-07,1593.582275390625,1603.1427139922168,1530.5643613539903,1535.0528198916854,5427577
2020-04-08,1530.9678955078125,1621.2308179358938,1526.9732122419466,1579.937009727117,6285615
2020-04-09,1585.458251953125,1596.8140741185368,1554.083860614781,1571.364426211253,5307397
2020-04-13,1579.26416015625,1604.175105413795,1567.369744853098,1580.8351206679872,2990438
2020-04-15,1557.62939453125,1626.6169629013611,1551.0313840649162,1602.379292924354,4761399
2020-04-16,1540.48388671875,1584.3361043787945,1503.6785269924412,1535.0078796796306,6245533
2020-04-17,1621.41064453125,1662.480038282023,1573.6534916962855,1615.8450000304128,9895823
2020-04-20,1632.5870361328125,1642.7758150365464,1618.089293225888,1642.7758150365464,3244282
2020-04-21,1559.8739013671875,1610.997396472077,1550.9418037933888,1584.4257458238521,5122541
2020-04-22,1588.4654541015625,1606.8681338467347,1543.2666991803312,1559.8739955357305,3829836
2020-04-23,1686.0894775390625,1705.6142725005823,1580.700447416672,1597.891265816335,5934366
2020-04-24,1632.4971923828125,1662.4800057990108,1622.8470071545182,1652.3809747461446,2987102
2020-04-27,1648.700439453125,1683.1718202481059,1638.2872383748231,1644.840431160922,3374741
2020-04-28,1668.853759765625,1676.8880564604976,1645.1097491059197,1674.1949814233553,2678505
2020-04-29,1710.6859130859375,1716.880006657088,1660.7742851457388,1682.2739537962927,4241510
2020-04-30,1808.35498046875,1824.109513455458,1743.4967558884564,1777.4295455914405,5915544
2020-05-04,1732.94873046875,1764.861711143231,1717.8675771193737,1764.861711143231,3729348
2020-05-05,1735.013671875,1774.7365304860302,1729.8519444848662,1755.0770599012187,2905528
2020-05-06,1708.8458251953125,1753.8201555275368,1699.8689085788403,1741.3423290958422,3517431
2020-05-07,1698.118408203125,1736.539544543976,1690.6675237783543,1714.591027836987,3166754
2020-05-08,1699.6895751953125,1741.0731428037604,1693.2710572898134,1740.7140441887618,2686530
2020-05-11,1737.3028564453125,1751.7556714447676,1713.6935200111923,1713.6935200111923,2449841
2020-05-12,1750.0498046875,1756.3336459969705,1714.815408773684,1735.5969915920175,3256595
2020-05-13,1750.184326171875,1789.996923902045,1728.639729294418,1789.996923902045,2656665
2020-05-14,1707.7236328125,1726.3507339430084,1697.6246020790918,1714.590995627517,2263146
2020-05-15,1699.240478515625,1721.2339230645623,1674.3743550522147,1719.977132888324,3173682
2020-05-18,1746.548583984375,1753.146594681858,1680.5682578465771,1711.8977135344269,3727694
2020-05-19,1749.286865234375,1765.2657109426686,1708.3072192719555,1708.3072192719555,3198693
2020-05-20,1753.7303466796875,1762.0789226723718,1734.0708780638322,1750.4986787275668,2778505
2020-05-21,1787.4833984375,1793.5877449054096,1742.554001407357,1746.9077835765402,3400908
2020-05-22,1813.6514892578125,1824.1096199697088,1760.5979292153502,1774.8263214115084,3663418
2020-05-26,1744.2149658203125,1816.927993216836,1728.0565152877518,1808.8487679505556,4575317
2020-05-27,1800.1409912109375,1804.3600978559139,1742.6438009765138,1758.5778267162862,3482160
2020-05-28,1799.2435302734375,1807.951095989543,1769.619703973708,1785.0599574852067,3475681
2020-05-29,1770.56201171875,1797.7621111292838,1761.6300240991873,1779.2247576062398,7237735
2020-06-01,1836.003662109375,1849.244612612303,1778.4167266498348,1786.4062034458655,3747773
2020-06-02,1837.7093505859375,1868.096188829113,1831.3357622472208,1849.424160024077,2443886
2020-06-03,1842.211181640625,1858.05697566069,1818.6675182723652,1847.3431311739616,3699799
2020-06-04,1883.0858154296875,1890.6935622305573,1842.7509754739967,1842.7509754739967,4048593
2020-06-05,1844.101806640625,1888.8932456155408,1836.944223670402,1883.1312187758322,3573289
2020-06-08,1865.2593994140625,1886.1920800156684,1856.5712994743462,1871.1115466790277,2957841
2020-06-09,1865.5294189453125,1886.6421202570907,1854.9054775756006,1857.4715068216647,2909439
2020-06-10,1898.5716552734375,1919.5043362385152,1866.8350099392876,1870.0312266932485,5168397
2020-06-11,1861.5682373046875,1895.195668804715,1856.3014358576781,1890.6940163847514,2269513
2020-06-12,1836.2237548828125,1844.9569153451807,1810.5643398231605,1810.7443619323114,2842642
2020-06-15,1827.580810546875,1853.78040477743,1801.5161779615237,1835.863806762189,2399022
2020-06-16,1841.8961181640625,1867.2403329534554,1828.5711832561876,1859.1824192141937,2146528
2020-06-17,1843.696533203125,1853.6452275240367,1824.5645132810691,1842.0758946129904,2703527
2020-06-18,1834.9632568359375,1853.9602051623804,1823.3489733878027,1841.1755582062053,1944389
2020-06-19,1840.8154296875,1881.6904499592015,1829.4712891469367,1838.474592735258,5681758
2020-06-22,1825.8248291015625,1847.7028998464211,1817.9019882250386,1845.6771566257344,3196138
2020-06-23,1832.442626953125,1840.2754579840748,1809.6642223816,1824.9698401828373,4205944
2020-06-24,1838.6546630859375,1858.5069919804907,1829.1111830126483,1831.2719979112599,2560937
2020-06-25,1815.1561279296875,1854.680655133895,1808.988886566883,1832.1723947560565,3043931
2020-06-26,1907.6654052734375,1919.5046636578056,1818.6225851922002,1823.16929826785,6300722
2020-06-29,1892.179443359375,1915.543194889406,1882.8611548841125,1897.8966297637714,3076341
2020-06-30,1874.62255859375,1901.4073837667058,1868.2303456468724,1890.6935416204003,3071725
2020-07-01,1883.53662109375,1903.2537727393026,1872.2374284298223,1872.417450583149,2503466
2020-07-02,1942.1473388671875,1949.2150193544678,1888.892891734722,1892.4942127866473,3758699
2020-07-03,1980.411865234375,1985.2287212564677,1944.9389320155485,1947.9999677444735,4185208
2020-07-06,2037.6278076171875,2043.6599776030612,1985.228619976533,1985.228619976533,5190366
2020-07-07,2043.658935546875,2073.1898028792884,2009.6714787708133,2048.2507063719213,5630055
2020-07-08,1997.7425537109375,2047.7108788317973,1987.5689984960325,2043.7495139522923,2793358
2020-07-09,1984.6431884765625,2020.79136216696,1972.6687515025042,2006.8362424906009,3443998
2020-07-10,2000.849365234375,2025.6084513936503,1959.1189630030321,1985.4536273724434,9610320
2020-07-13,1998.7333984375,2021.196596949487,1989.7300948409347,1998.7333984375,2963503
2020-07-14,1955.472412109375,2015.8396045685024,1949.215160290669,1989.7300250542164,2976738
2020-07-15,2011.247802734375,2034.7465118785092,1963.7105379486418,1967.2217382542224,5569321
2020-07-16,2016.5267333984375,2105.1826240154624,2003.30739355378,2024.8734711918978,8582118
2020-07-17,1985.8466796875,2024.7829924436858,1976.1915791501895,2018.5568658234408,4509135
2020-07-20,1992.298583984375,2009.4432349060585,1976.8685303350424,1986.07245676978,2952646
2020-07-21,2007.7740478515625,2020.0458765044218,1986.2077492074256,2012.2406365947045,2665286
2020-07-22,1977.0037841796875,2013.1429474898462,1970.9129213847273,2013.1429474898462,2861534
